artist,genres,popularity,followers,artist_id
Hoodie Allen,"['indie pop rap', 'pop rap']",60,684947,382aq8Pij5V2nE2JMHMoxl
KYLE,"['pop', 'pop rap', 'rap', 'social media pop']",71,996282,4qBgvVog0wzW75IQ48mU7v
Jon Z,"['reggaeton', 'reggaeton flow', 'trap latino']",72,3670698,5bWUlnPx9OYKsLiUJrhCA1
Chris Jedi,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",65,1711731,0qTZZWLzuD59Un5r1speHm
Ovi,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'trap latino']",72,389237,4o0NtnL2m0lzZmEdRas1qv
Cauty,"['dominican pop', 'latin', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",65,679285,2QUvtLq6oQaX0LNsYY2fas
Ñengo Flow,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",79,2908943,12vb80Km0Ew53ABfJOepVz
Revol,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",60,592748,2wYOpkTJZGByNEOjEnSmoW
Selena Gomez & The Scene,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",72,7102385,6dJeKm76NjfXBNTpHmOhfO
Bridgit Mendler,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",65,1208825,4VhL8KLjVso4vLfOLVViTb
Sabrina Carpenter,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",74,3870105,74KM79TiuVKeVCqs8QtB0B
Comethazine,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']",71,1784973,1iJdyDcY98X3GMnUesl7tf
YBN Nahmir,"['alabama rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']",69,2695502,3gGUMEwIX6XodWsYEvKSal
Imanbek,"['dance pop', 'edm', 'electro house', 'pop dance', 'slap house', 'tropical house']",78,127172,5rGrDvrLOV2VV8SCFVGWlj
James Carter,"['deep house', 'pop dance', 'pop edm', 'tropical house']",62,23450,5344K3N7rx7kw1HjO8psuq
HUGEL,"['dance pop', 'deep house', 'edm', 'electro house', 'house', 'pop dance', 'tropical house']",68,68941,5PlfkPxwCpRRWQJBxCa0By
Mark Mendy,"['deep house', 'pop dance', 'tropical house']",57,8693,7AgS2ycsLUG0NPTY1AAboT
Panuma,"['deep house', 'new french touch', 'pop dance', 'pop edm', 'tropical house']",53,8337,3YvNtTSaJ2YAt1RhaE9eiH
Viva La Panda,"['deep house', 'deep tropical house', 'new french touch', 'pop dance', 'tropical house']",57,5221,5SZUMeZ1O9tcgkSkkx1dFy
Madism,"['deep house', 'pop dance', 'tropical house']",65,9529,5UUdxfBMwm0hLlLgnZtBFv
Ian Storm,"['brazilian edm', 'dutch edm', 'pop dance', 'tropical house']",63,19509,6fllSzvyC7OruOFZisOELq
Lucas Estrada,"['deep house', 'deep pop edm', 'deep tropical house', 'edm', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",66,105733,2tndYCXQneCV4jtoWRwVpz
Michael Calfan,"['dance pop', 'deep groove house', 'deep house', 'deep tropical house', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",62,143306,4CuipEvwcoQggmCV8jpKF9
Matvey Emerson,"['deep house', 'groove room', 'pop dance', 'pop edm', 'tropical house']",57,6854,4n7LqAJhu3k6rrKMu3VfDa
KREAM,"['dance pop', 'deep groove house', 'deep house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",67,179965,0DdDnziut7wOo6cAYWVZC5
Tom Ferry,"['deep groove house', 'deep tropical house', 'house', 'pop dance', 'pop edm', 'tropical house', 'uk dance']",51,8354,7nLgDxwtRUTbagZKa9aaVA
Chasner,[],49,1351,60bBAf1WFPnIwyBSfXj9xv
Braaten,"['deep tropical house', 'tropical house']",55,7831,0odPXKGYqtTpiWJFBhqyVB
Yves V,"['belgian edm', 'brazilian edm', 'dance pop', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'slap house', 'tropical house']",68,262960,47BEc2RoW53owMyxacXWdV
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",76,3026357,15iVAtD3s3FsQR4w1v6M0P
Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",75,2384521,2P5sC9cVZDToPxyomzF1UH
Pusha T,"['alternative hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']",74,2196364,0ONHkAv9pCAFxb0zJwDNTy
A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",64,1819062,7yO4IdJjCEPz7YgZMe25iS
Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",80,5480759,1anyVhU62p31KFi8MEzkbf
Young Nudy,"['hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']",73,779935,5yPzzu25VzEk8qrGTLIrE1
Lil Pump,"['emo rap', 'miami hip hop', 'rap', 'social media pop', 'trap']",71,7843014,3wyVrVrFCkukjdVIdirGVY
Famous Dex,"['chicago rap', 'drill', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']",66,2295983,0WOxhx4hikIsyF3CRPLC8W
Tay-K,"['cali rap', 'dfw rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']",67,2641489,2ODbg2404zUzTi02qIPEjB
DJ Luian,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",77,1228433,64aJYyrXljOodnUG6jvhRD
Darell,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",80,2480546,1TtXnWcUs0FCkaZDPGYHdf
Sheck Wes,"['rap', 'trap', 'underground hip hop', 'vapor trap']",66,1200073,2RDOrhPqAM4jzTRCEb19qX
Lancey Foux,"['uk alternative hip hop', 'underground hip hop', 'vapor trap']",58,105627,2LakckgvXEtJlKOYP6BO11
SahBabii,"['melodic rap', 'plugg', 'rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",63,532570,7GuUYiGZOzQwq4L6gAfy1T
Pi’erre Bourne,"['hip hop', 'melodic rap', 'rap', 'trap', 'vapor trap']",71,559788,3x3jSlhyv5CiCZDZlaTq0M
88GLAM,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",59,393937,2I9SLklAOG0vdMiUUMNxRl
UnoTheActivist,"['melodic rap', 'plugg', 'rap', 'trap', 'underground hip hop', 'vapor trap']",61,279658,0bZ9jANLkwEFVcSnHnwrpb
